year,ln_ly,age,id1968,pernum,wgt,stato,unid,MH6,div,mar,_merge,wtmedian
1968,-.91061437,0,1739,1,22.5,Texas,0,1946,0,0,matched (3),-.47809935
1969,.062102079,0,5312,1,4.3,California,0,1940,0,0,matched (3),-.47809935
1977,-.47809935,0,2679,3,33.5,California,1,1951,0,1,matched (3),-.47809935
1977,-.72138894,0,2224,3,31.4,California,1,1945,1,0,matched (3),-.47809935
1974,-.090366602,0,6779,3,2.5,California,1,1953,0,1,matched (3),-.47809935
1973,,14,2701,3,23.8,Louisiana,0,1948,0,0,matched (3),
1970,-.87316728,16,6572,3,4.3,Louisiana,0,1949,0,1,matched (3),-.87316728
1969,,16,6583,3,2.9,Louisiana,0,1943,0,1,matched (3),-.87316728
1972,,16,297,3,28.1,California,1,1950,0,1,matched (3),-.87316728
1973,-1.2731013,16,1129,170,0,North Calorina,0,1952,0,1,matched (3),-.87316728
1971,,16,1129,175,0,North Calorina,0,1946,0,1,matched (3),-.87316728
1971,,16,6801,4,3.2,Louisiana,0,1945,0,1,matched (3),-.87316728
1971,,16,490,3,22.1,North Calorina,0,1952,0,1,matched (3),-.87316728
1976,-.52762222,16,5475,171,0,Texas,1,1954,0,1,matched (3),-.87316728
1972,,17,490,3,22.1,North Calorina,0,1952,0,1,matched (3),-.59608984
1969,,17,641,3,25.1,Missisippi,0,1952,0,1,matched (3),-.59608984
1974,,17,5518,3,16.4,California,1,1954,0,1,matched (3),-.59608984
1973,,17,6107,3,1,Missisippi,0,1954,0,1,matched (3),-.59608984
1980,-.71719146,17,2436,4,29,Texas,1,1954,0,1,matched (3),-.59608984
1975,-.047328949,17,5518,3,16.4,California,1,1954,0,1,matched (3),-.59608984
1971,,17,556,170,0,Texas,1,1952,0,1,matched (3),-.59608984
1970,,17,1051,4,28.1,California,1,1951,1,0,matched (3),-.59608984
1972,,17,1129,175,0,North Calorina,0,1946,0,1,matched (3),-.59608984
1974,,17,6769,4,1.7,Louisiana,0,1954,0,0,matched (3),-.59608984
1974,-.87379026,17,1129,170,0,North Calorina,0,1952,0,1,matched (3),-.59608984
1973,-.10689569,17,490,3,22.1,North Calorina,0,1952,0,1,matched (3),-.59608984
1973,-.42216587,17,423,4,17.1,North Calorina,0,1952,0,1,matched (3),-.59608984
1972,,17,6574,171,0,Louisiana,0,1952,0,1,matched (3),-.59608984
1972,,17,5449,2,3.8,North Calorina,0,1951,0,1,matched (3),-.59608984
1976,,17,840,6,3.4,North Calorina,0,1954,0,1,matched (3),-.59608984
1971,-.6753335,17,6572,3,4.3,Louisiana,0,1949,0,1,matched (3),-.59608984
1974,-.59608984,17,5434,170,0,Texas,1,1946,0,1,matched (3),-.59608984
1974,-.32047892,17,423,4,20.9,North Calorina,0,1952,0,1,matched (3),-.59608984
1972,,17,6801,4,3.2,Louisiana,0,1945,0,1,matched (3),-.59608984
1973,,17,297,3,28.1,California,1,1950,0,1,matched (3),-.59608984
1977,-.90037155,17,5475,171,0,Texas,1,1954,0,1,matched (3),-.59608984
1968,,17,6847,1,2.5,California,0,1949,0,0,matched (3),-.59608984
1972,-.3277452,18,2327,170,0,Missisippi,0,1945,0,1,matched (3),-.55136544
1977,,18,840,6,3.4,North Calorina,0,1954,0,1,matched (3),-.55136544
1976,,18,2856,3,31.4,California,1,1943,0,1,matched (3),-.55136544
1971,,18,2339,2,26.1,California,1,1952,0,1,matched (3),-.55136544
1972,,18,6583,3,2.9,Louisiana,0,1943,1,0,matched (3),-.55136544
1972,,18,6779,3,2,California,1,1953,0,1,matched (3),-.55136544
